,genre,mood,title
309,comedy,energetic,"Corrina, Corrina (1994)"
310,comedy,romantic,Crooklyn (1994)
311,mystery,reflective,"Crow, The (1994)"
312,thriller,reflective,Cobb (1994)
313,horror,mysterious,"Flintstones, The (1994)"
314,drama,dreamy,Forrest Gump (1994)
315,drama,reflective,Four Weddings and a Funeral (1994)
316,fantasy,reflective,Higher Learning (1995)
317,romance,wild,I Like It Like That (1994)
318,western,wild,I Love Trouble (1994)
319,fantasy,wild,It Could Happen to You (1994)
320,fantasy,cheerful,"Jungle Book, The (1994)"
321,romance,gloomy,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
322,western,mysterious,"Lion King, The (1994)"
323,comedy,spooky,Little Buddha (1993)
324,drama,romantic,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
325,action,wild,"Mask, The (1994)"
326,action,energetic,Maverick (1994)
327,drama,spooky,Mrs. Parker and the Vicious Circle (1994)
328,action,wild,Naked Gun 33 1/3: The Final Insult (1994)
329,mystery,romantic,"Paper, The (1994)"
330,thriller,gloomy,Reality Bites (1994)
331,mystery,reflective,Red Rock West (1992)
332,action,romantic,Richie Rich (1994)
333,fantasy,reflective,"River Wild, The (1994)"
334,action,energetic,Speed (1994)
335,mystery,spooky,Speechless (1994)
336,fantasy,wild,Timecop (1994)
337,mystery,mysterious,True Lies (1994)
338,horror,romantic,When a Man Loves a Woman (1994)
339,drama,reflective,Wolf (1994)
340,thriller,reflective,Wyatt Earp (1994)
341,action,romantic,Bad Company (1995)
342,romance,gloomy,"Man of No Importance, A (1994)"
343,fantasy,reflective,S.F.W. (1994)
344,mystery,energetic,"Low Down Dirty Shame, A (1994)"
345,horror,romantic,Boys Life (1995)
346,western,wild,"Colonel Chabert, Le (1994)"
347,fantasy,dreamy,Faster Pussycat! Kill! Kill! (1965)
348,western,cheerful,Jason's Lyric (1994)
349,romance,reflective,Street Fighter (1994)
350,comedy,gloomy,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
351,fantasy,romantic,Federal Hill (1994)
352,comedy,mysterious,In the Mouth of Madness (1995)
353,comedy,spooky,8 Seconds (1994)
354,western,reflective,Above the Rim (1994)
355,thriller,wild,Addams Family Values (1993)
356,fantasy,spooky,"Age of Innocence, The (1993)"
357,romance,romantic,Airheads (1994)
358,action,gloomy,"Air Up There, The (1994)"
359,western,wild,Another Stakeout (1993)
360,action,mysterious,Bad Girls (1994)
361,thriller,romantic,Barcelona (1994)
362,western,gloomy,Being Human (1993)
363,fantasy,energetic,"Beverly Hillbillies, The (1993)"
364,mystery,dreamy,Beverly Hills Cop III (1994)
365,fantasy,cheerful,Black Beauty (1994)
366,comedy,reflective,Blink (1994)
367,comedy,energetic,Blown Away (1994)
368,thriller,wild,Blue Chips (1994)
369,comedy,gloomy,Blue Sky (1994)
370,action,gloomy,Body Snatchers (1993)
371,thriller,energetic,Boxing Helena (1993)
372,fantasy,gloomy,"Bronx Tale, A (1993)"
373,western,wild,Cabin Boy (1994)
374,fantasy,energetic,Calendar Girl (1993)
375,thriller,dreamy,Carlito's Way (1993)
376,mystery,spooky,City Slickers II: The Legend of Curly's Gold (1994)
377,horror,reflective,Clean Slate (1994)
378,western,cheerful,Cliffhanger (1993)
379,mystery,romantic,Coneheads (1993)
380,western,mysterious,Color of Night (1994)
381,thriller,energetic,Cops and Robbersons (1994)
382,mystery,wild,"Cowboy Way, The (1994)"
383,horror,spooky,Dave (1993)
384,drama,mysterious,Dazed and Confused (1993)
385,horror,wild,Demolition Man (1993)
386,western,gloomy,Even Cowgirls Get the Blues (1993)
387,action,energetic,Fatal Instinct (1993)
388,fantasy,spooky,Farewell My Concubine (Ba wang bie ji) (1993)
389,thriller,spooky,Fearless (1993)
390,action,romantic,Fear of a Black Hat (1994)
391,thriller,wild,With Honors (1994)
392,action,cheerful,Flesh and Bone (1993)
393,mystery,reflective,Widows' Peak (1994)
394,horror,wild,For Love or Money (1993)
395,comedy,reflective,"Firm, The (1993)"
396,thriller,spooky,Free Willy (1993)
397,drama,romantic,Fresh (1994)
398,action,dreamy,"Fugitive, The (1993)"
399,comedy,cheerful,Geronimo: An American Legend (1993)
400,western,wild,"Getaway, The (1994)"
401,horror,energetic,Getting Even with Dad (1994)
402,fantasy,romantic,Go Fish (1994)
403,western,romantic,Hard Target (1993)
404,western,energetic,Hot Shots! Part Deux (1993)
405,western,wild,Live Nude Girls (1995)
406,thriller,dreamy,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
407,mystery,cheerful,"House of the Spirits, The (1993)"
408,mystery,reflective,House Party 3 (1994)
409,comedy,cheerful,"Hudsucker Proxy, The (1994)"
410,fantasy,gloomy,I'll Do Anything (1994)
411,drama,energetic,In the Army Now (1994)
412,western,energetic,In the Line of Fire (1993)
413,mystery,spooky,In the Name of the Father (1993)
414,drama,energetic,"Inkwell, The (1994)"
415,fantasy,mysterious,What's Love Got to Do with It? (1993)
416,western,mysterious,Jimmy Hollywood (1994)
417,action,dreamy,Judgment Night (1993)
418,action,reflective,Jurassic Park (1993)
419,action,energetic,Kalifornia (1993)
420,thriller,reflective,Killing Zoe (1994)
421,western,dreamy,Lassie (1994)
422,horror,mysterious,Last Action Hero (1993)
423,mystery,wild,Life with Mikey (1993)
424,comedy,wild,Lightning Jack (1994)
425,drama,energetic,M. Butterfly (1993)
426,fantasy,dreamy,Made in America (1993)
427,comedy,gloomy,Malice (1993)
428,western,gloomy,"Man Without a Face, The (1993)"
429,action,romantic,Manhattan Murder Mystery (1993)
430,fantasy,cheerful,Menace II Society (1993)
431,drama,cheerful,Executive Decision (1996)
432,horror,romantic,In the Realm of the Senses (Ai no corrida) (1976)
433,mystery,dreamy,What Happened Was... (1994)
434,fantasy,energetic,Much Ado About Nothing (1993)
435,action,cheerful,Mr. Wonderful (1993)
436,fantasy,gloomy,Mrs. Doubtfire (1993)
437,drama,mysterious,Naked (1993)
438,action,gloomy,"Next Karate Kid, The (1994)"
439,western,energetic,No Escape (1994)
440,thriller,spooky,North (1994)
441,fantasy,romantic,Orlando (1992)
442,horror,mysterious,"Perfect World, A (1993)"
443,comedy,romantic,Philadelphia (1993)
444,fantasy,dreamy,"Piano, The (1993)"
445,fantasy,wild,Poetic Justice (1993)
446,drama,dreamy,"Program, The (1993)"
447,fantasy,energetic,"Puppet Masters, The (1994)"
448,action,cheerful,Radioland Murders (1994)
449,action,dreamy,"Ref, The (1994)"
450,romance,spooky,"Remains of the Day, The (1993)"
451,thriller,reflective,Renaissance Man (1994)
452,fantasy,gloomy,Rising Sun (1993)
453,thriller,cheerful,"Road to Wellville, The (1994)"
454,western,romantic,RoboCop 3 (1993)
455,romance,wild,Robin Hood: Men in Tights (1993)
456,drama,reflective,Romeo Is Bleeding (1993)
457,thriller,gloomy,Romper Stomper (1992)
458,horror,romantic,Ruby in Paradise (1993)
459,mystery,gloomy,Rudy (1993)
460,mystery,reflective,"Savage Nights (Nuits fauves, Les) (1992)"
461,drama,cheerful,Schindler's List (1993)
462,thriller,dreamy,"Scout, The (1994)"
463,comedy,romantic,Searching for Bobby Fischer (1993)
464,western,reflective,"Secret Garden, The (1993)"
465,drama,romantic,Serial Mom (1994)
466,action,energetic,"Shadow, The (1994)"
467,romance,mysterious,Shadowlands (1993)
468,action,gloomy,Short Cuts (1993)
469,western,dreamy,"Simple Twist of Fate, A (1994)"
470,mystery,cheerful,Sirens (1994)
471,horror,energetic,Six Degrees of Separation (1993)
472,romance,spooky,Sleepless in Seattle (1993)
473,action,romantic,Sliver (1993)
474,mystery,reflective,Blade Runner (1982)
475,romance,romantic,Son in Law (1993)
476,horror,wild,So I Married an Axe Murderer (1993)
477,thriller,energetic,Striking Distance (1993)
478,comedy,spooky,Super Mario Bros. (1993)
479,comedy,romantic,Surviving the Game (1994)
480,drama,cheerful,Terminal Velocity (1994)
481,romance,reflective,Thirty-Two Short Films About Glenn Gould (1993)
482,action,mysterious,Threesome (1994)
483,thriller,reflective,"Nightmare Before Christmas, The (1993)"
484,horror,energetic,"Three Musketeers, The (1993)"
485,drama,cheerful,Tombstone (1993)
486,fantasy,energetic,True Romance (1993)
487,romance,cheerful,"War Room, The (1993)"
488,thriller,romantic,"Pagemaster, The (1994)"
489,mystery,romantic,Welcome to the Dollhouse (1995)
490,western,dreamy,Germinal (1993)
491,drama,dreamy,Chasers (1994)
492,comedy,reflective,Kika (1993)
493,western,wild,Bhaji on the Beach (1993)
494,romance,romantic,Little Big League (1994)
495,comedy,reflective,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
496,action,wild,Spanking the Monkey (1994)
497,western,cheerful,"Little Rascals, The (1994)"
498,romance,reflective,Andre (1994)
499,romance,dreamy,"Escort, The (Scorta, La) (1993)"
500,western,wild,Princess Caraboo (1994)
501,drama,reflective,"Celluloid Closet, The (1995)"
502,horror,gloomy,Dear Diary (Caro Diario) (1994)
503,action,reflective,"Brady Bunch Movie, The (1995)"
504,horror,romantic,Home Alone (1990)
505,western,gloomy,Ghost (1990)
506,drama,reflective,Aladdin (1992)
507,comedy,mysterious,Terminator 2: Judgment Day (1991)
508,fantasy,cheerful,Dances with Wolves (1990)
509,drama,mysterious,Batman (1989)
510,comedy,reflective,"Silence of the Lambs, The (1991)"
511,horror,wild,Snow White and the Seven Dwarfs (1937)
512,mystery,dreamy,Beauty and the Beast (1991)
513,romance,reflective,Pinocchio (1940)
514,romance,dreamy,Pretty Woman (1990)
515,western,energetic,"Wild Bunch, The (1969)"
516,fantasy,reflective,Love and a .45 (1994)
517,mystery,wild,"Great Day in Harlem, A (1994)"
518,western,dreamy,One Fine Day (1996)
519,drama,spooky,Candyman: Farewell to the Flesh (1995)
520,western,dreamy,Fargo (1996)
521,mystery,mysterious,Homeward Bound II: Lost in San Francisco (1996)
522,horror,spooky,Heavy Metal (1981)
523,comedy,wild,Hellraiser: Bloodline (1996)
524,comedy,wild,"Pallbearer, The (1996)"
525,action,dreamy,Jane Eyre (1996)
526,action,dreamy,Bread and Chocolate (Pane e cioccolata) (1973)
527,mystery,gloomy,"Aristocats, The (1970)"
528,western,romantic,"Flower of My Secret, The (La flor de mi secreto) (1995)"
529,drama,wild,Two Much (1995)
530,mystery,romantic,Ed (1996)
531,action,energetic,"Thin Line Between Love and Hate, A (1996)"
532,western,gloomy,"Last Supper, The (1995)"
533,fantasy,energetic,Primal Fear (1996)
534,horror,spooky,All Dogs Go to Heaven 2 (1996)
535,action,mysterious,Land and Freedom (Tierra y libertad) (1995)
536,comedy,gloomy,Denise Calls Up (1995)
537,action,dreamy,Theodore Rex (1995)
538,comedy,reflective,"Family Thing, A (1996)"
539,horror,cheerful,Frisk (1995)
540,horror,cheerful,Sgt. Bilko (1996)
541,fantasy,gloomy,Jack and Sarah (1995)
542,fantasy,dreamy,Girl 6 (1996)
543,comedy,dreamy,Diabolique (1996)
544,thriller,wild,Nelly & Monsieur Arnaud (1995)
545,thriller,energetic,Courage Under Fire (1996)
546,action,energetic,Mission: Impossible (1996)
547,horror,mysterious,Cold Fever (Á köldum klaka) (1995)
548,romance,romantic,Moll Flanders (1996)
549,fantasy,mysterious,Dragonheart (1996)
550,mystery,gloomy,Eddie (1996)
551,horror,spooky,James and the Giant Peach (1996)
552,horror,reflective,Fear (1996)
553,thriller,romantic,Kids in the Hall: Brain Candy (1996)
554,western,reflective,Underground (1995)
555,fantasy,wild,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
556,western,gloomy,Song of the Little Road (Pather Panchali) (1955)
557,comedy,energetic,"World of Apu, The (Apur Sansar) (1959)"
558,fantasy,wild,Mystery Science Theater 3000: The Movie (1996)
559,mystery,reflective,Space Jam (1996)
560,drama,gloomy,Barbarella (1968)
561,thriller,gloomy,Some Folks Call It a Sling Blade (1993)
562,western,gloomy,"Run of the Country, The (1995)"
563,romance,romantic,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
564,action,energetic,It's My Party (1996)
565,horror,dreamy,Operation Dumbo Drop (1995)
566,thriller,romantic,Mrs. Winterbourne (1996)
567,mystery,mysterious,Solo (1996)
568,action,romantic,"Substitute, The (1996)"
569,comedy,mysterious,True Crime (1996)
570,romance,mysterious,Feeling Minnesota (1996)
571,comedy,energetic,Delta of Venus (1995)
572,comedy,energetic,Angus (1995)
573,thriller,energetic,Boys (1996)
574,mystery,dreamy,"Quest, The (1996)"
575,drama,gloomy,Sunset Park (1996)
576,fantasy,dreamy,Mulholland Falls (1996)
577,drama,mysterious,"Truth About Cats & Dogs, The (1996)"
578,romance,romantic,Oliver & Company (1988)
579,horror,wild,Celtic Pride (1996)
580,horror,wild,Flipper (1996)
581,horror,dreamy,Dead Man (1995)
582,fantasy,romantic,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
583,drama,mysterious,"Visitors, The (Visiteurs, Les) (1993)"
584,comedy,gloomy,Multiplicity (1996)
585,horror,mysterious,Wallace & Gromit: The Best of Aardman Animation (1996)
586,comedy,wild,"Haunted World of Edward D. Wood Jr., The (1996)"
587,comedy,dreamy,"Craft, The (1996)"
